name,text
Acne,"Acne is a common skin condition that occurs when hair follicles become clogged with oil and dead skin cells. Symptoms: Blackheads, Whiteheads, Pimples, Cysts, Nodules. Treatments: Topical creams and gels containing benzoyl peroxide or retinoids, Oral medications such as antibiotics or isotretinoin, Chemical peels, Laser and light therapies."
Appendicitis,"Appendicitis is a condition where the appendix becomes inflamed and swollen, usually as a result of an infection. Symptoms: Pain in the lower right side of the abdomen, Nausea and vomiting, Loss of appetite, Fever, Constipation or diarrhea. Treatments: Surgery to remove the appendix, Antibiotics to treat the infection, Pain medication."
Arthritis,"Arthritis is a condition where one or more joints become inflamed, causing pain, stiffness, and limited range of motion. Symptoms: Joint pain and stiffness, Swelling and redness around the joint, Limited range of motion, Fatigue, Fever. Treatments: Pain medication, Anti-inflammatory drugs, Physical therapy, Joint replacement surgery."
Asthma,"Asthma is a chronic condition where the airways in the lungs become inflamed and narrow, making it difficult to breathe. Symptoms: Wheezing, Coughing, Shortness of breath, Chest tightness, Difficulty breathing. Treatments: Bronchodilators to open up the airways, Corticosteroids to reduce inflammation, Leukotriene modifiers, Immunomodulators."
Atherosclerosis,"Atherosclerosis is a condition where plaque builds up inside the arteries, making them narrower and restricting blood flow. Symptoms: Chest pain, Shortness of breath, Weakness or numbness in limbs, Headache, Blurry vision. Treatments: Lifestyle changes such as quitting smoking and eating a healthy diet, Medications to lower cholesterol and blood pressure, Angioplasty or stenting to open up blocked arteries, Surgery to bypass blocked arteries."
Bronchitis,"Bronchitis is an inflammation of the lining of the bronchial tubes, which carry air to and from the lungs. Symptoms: Persistent cough, Mucus production, Wheezing, Shortness of breath, Chest discomfort. Treatments: Rest and hydration, Over-the-counter cough medicine, Inhaled bronchodilators, Corticosteroids, Antibiotics (if bacterial)."
Cataracts,"Cataracts are a clouding of the eye's natural lens, which can cause blurry vision and eventually blindness if left untreated. Symptoms: Blurred or dimmed vision, Difficulty seeing at night, Sensitivity to light, Frequent changes in eyeglass or contact lens prescription. Treatments: Prescription eyeglasses or contact lenses, Surgery to remove and replace the clouded lens."
Celiac disease,"Celiac disease is an autoimmune disorder in which the body's immune system attacks the small intestine when gluten is ingested, leading to damage and malabsorption of nutrients. Symptoms: Abdominal pain and bloating, Diarrhea or constipation, Fatigue, Weight loss, Iron-deficiency anemia. Treatments: A gluten-free diet, Supplements to correct nutrient deficiencies."
Cirrhosis,"Cirrhosis is a late stage of liver disease in which healthy liver tissue is replaced with scar tissue, impairing liver function and leading to a range of symptoms. Symptoms: Fatigue and weakness, Loss of appetite and weight loss, Nausea and vomiting, Abdominal swelling and pain, Jaundice (yellowing of the skin and eyes). Treatments: Treatment of underlying causes (e.g., alcohol cessation, hepatitis treatment), Medications to manage symptoms, Liver transplant in severe cases."
Colitis,"Colitis is an inflammation of the colon, which can cause a range of symptoms depending on the underlying cause. Symptoms: Abdominal pain and cramping, Diarrhea or constipation, Rectal bleeding, Urgent bowel movements, Fever and fatigue. Treatments: Anti-inflammatory medications, Immunosuppressants, Surgery to remove the colon in severe cases."
Conjunctivitis,"Conjunctivitis, also known as pink eye, is an inflammation of the conjunctiva, which is the thin, clear tissue that lines the inside of the eyelid and covers the white part of the eye. Symptoms: Redness in the white of the eye or inner eyelid, Increased amount of tears, Thick yellow discharge that crusts over the eyelashes, especially after sleep, Itchy or burning eyes, Blurred vision, Sensitivity to light. Treatments: Artificial tears, Antihistamine eye drops, Topical corticosteroids, Cold compresses, Warm compresses."
Crohn's disease,"Crohn's disease is a type of inflammatory bowel disease that can affect any part of the gastrointestinal tract from mouth to anus. Symptoms include abdominal pain, diarrhea, and weight loss. Symptoms: Abdominal pain and cramping, Diarrhea, Blood in your stool, Reduced appetite and weight loss, Fatigue, Fever. Treatments: Anti-inflammatory drugs, Immune system suppressors, Antibiotics, Nutrition therapy, Surgery."
Cystic fibrosis,"Cystic fibrosis is an inherited disorder that causes severe damage to the lungs, digestive system and other organs in the body. It affects the cells that produce mucus, sweat and digestive juices. Symptoms: Persistent cough with thick mucus, Wheezing or shortness of breath, Poor growth or weight gain, Frequent respiratory infections, Salty-tasting skin, Difficulty with bowel movements. Treatments: Airway clearance techniques, Inhaled medications, Oral pancreatic enzyme supplements, Antibiotics, Nutrition therapy."
Dementia,"Dementia is a general term for a decline in mental ability severe enough to interfere with daily life. Memory loss is an example. Alzheimer's is the most common type of dementia. Symptoms: Memory loss, Difficulty communicating, Inability to focus or pay attention, Poor reasoning or judgment, Confusion and disorientation, Mood changes. Treatments: Medications to treat cognitive symptoms, Antidepressants, Antipsychotics, Occupational therapy, Speech therapy."
Diabetes mellitus,"Diabetes mellitus is a chronic metabolic disorder characterized by high blood sugar levels due to the body's inability to produce or use insulin effectively. Symptoms: Increased thirst, Frequent urination, Extreme hunger, Unexplained weight loss, Fatigue, Blurred vision, Slow-healing sores or frequent infections, Tingling or numbness in the hands or feet, Dry, itchy skin. Treatments: Lifestyle changes (e.g. diet, exercise), Oral medications (e.g. metformin, sulfonylureas), Insulin therapy, Blood sugar monitoring, Regular check-ups with a healthcare provider."
Emphysema,"Emphysema is a lung disease that damages the air sacs in the lungs. This damage makes it harder to breathe and can lead to shortness of breath, coughing, and wheezing. Symptoms: Shortness of breath, especially during physical activities, Wheezing, Chest tightness, Chronic cough, Lack of energy. Treatments: Quitting smoking, Medications such as bronchodilators, inhaled steroids, or oxygen therapy, Pulmonary rehabilitation, Lung volume reduction surgery, Lung transplant."
Endometriosis,"Endometriosis is a condition where the tissue that normally lines the inside of the uterus grows outside of it, leading to pain and discomfort. Symptoms: Painful periods, Pain during intercourse, Painful bowel movements or urination during menstruation, Excessive bleeding, Infertility. Treatments: Pain relievers such as nonsteroidal anti-inflammatory drugs (NSAIDs), Hormone therapy, Surgery to remove endometrial tissue, Assisted reproductive technologies (ART)."
Epilepsy,"Epilepsy is a neurological disorder that causes seizures, which can range from mild to severe and affect different parts of the brain. Symptoms: Seizures, Temporary confusion, Staring spells, Loss of consciousness, Psychic symptoms. Treatments: Antiepileptic drugs (AEDs), Surgery to remove the part of the brain causing seizures, Vagus nerve stimulation (VNS), Ketogenic diet."
Fibromyalgia,"Fibromyalgia is a chronic condition that causes widespread pain and tenderness in the body, as well as fatigue, sleep disturbances, and cognitive difficulties. Symptoms: Widespread pain, Tender points, Fatigue, Sleep disturbances, Cognitive difficulties. Treatments: Pain relievers such as acetaminophen, NSAIDs, or opioids, Antidepressants, Anticonvulsants, Physical therapy, Counseling."
Gallstones,"Gallstones are hardened deposits of digestive fluid that can form in the gallbladder, causing pain and other complications. Symptoms: Sudden and rapidly intensifying pain in the upper right portion of your abdomen, Pain in the back between the shoulder blades, Pain in the right shoulder, Nausea, Vomiting. Treatments: Surgery to remove the gallbladder (cholecystectomy), Medications to dissolve gallstones, Lithotripsy."
Gastritis,"Inflammation of the stomach lining Symptoms: Abdominal pain, Nausea, Vomiting. Treatments: Antacids, Proton pump inhibitors, Dietary changes."
Glaucoma,"Damage to the optic nerve that can lead to vision loss Symptoms: Blurred vision, Eye pain, Headaches. Treatments: Eye drops, Laser surgery, Trabeculectomy."
Gout,"A type of arthritis caused by a buildup of uric acid crystals in the joints Symptoms: Intense joint pain, Swelling, Redness. Treatments: Nonsteroidal anti-inflammatory drugs (NSAIDs), Colchicine, Urate-lowering therapy."
Hemorrhoids,"Swollen veins in the anus and lower rectum Symptoms: Bleeding, Pain or discomfort, Itching. Treatments: Over-the-counter creams or ointments, Sitz baths, Surgery."
Hernia,"A bulge or protrusion of an organ or tissue through an abnormal opening in the abdominal wall Symptoms: A visible bulge, Pain or discomfort, Nausea or vomiting. Treatments: Watchful waiting, Hernia truss, Surgery."
Hiatal hernia,"Hiatal hernia is a condition in which a portion of the stomach protrudes upward into the chest, through an opening in the diaphragm. Symptoms: Heartburn, Acid reflux, Difficulty swallowing, Chest or abdominal pain, Shortness of breath. Treatments: Antacids, Medications to reduce acid production, Surgery (in severe cases)."
Inflammatory bowel disease,"Inflammatory bowel disease (IBD) is a group of chronic conditions that cause inflammation in the digestive tract. Symptoms: Abdominal pain, Diarrhea, Rectal bleeding, Fatigue, Weight loss. Treatments: Medications to reduce inflammation, Immunosuppressants, Surgery (in severe cases)."
Interstitial cystitis,"Interstitial cystitis (IC) is a chronic condition that causes bladder pain and discomfort. Symptoms: Pelvic pain, Frequent urination, Urgency to urinate, Painful urination, Pain during sexual intercourse. Treatments: Bladder distention (stretching), Medications to relieve bladder pain, Physical therapy, Nerve stimulation."
Irritable bowel syndrome,"Irritable bowel syndrome (IBS) is a common condition that affects the large intestine. Symptoms: Abdominal pain, Bloating, Diarrhea, Constipation, Mucus in the stool. Treatments: Dietary changes, Fiber supplements, Medications to control bowel movements."
Kidney stones,"Kidney stones are hard deposits of minerals and salts that form inside the kidneys. Symptoms: Severe pain in the side and back, below the ribs, Pain that radiates to the lower abdomen and groin, Painful urination, Pink, red or brown urine, Nausea and vomiting. Treatments: Drinking water to help pass the stone, Medications to relieve pain, Surgery (in severe cases)."
Leukemia,"Leukemia is a type of cancer that affects the blood and bone marrow, the spongy tissue inside bones where blood cells are made. Symptoms: Fatigue, Fever, Night sweats, Easy bruising or bleeding, Bone pain, Enlarged lymph nodes, Shortness of breath, Pale skin, Frequent infections, Weight loss, Headaches, Dizziness, Confusion, Seizures. Treatments: Chemotherapy, Radiation therapy, Stem cell transplant, Targeted therapy, Biological therapy."
Lymphoma,"Lymphoma is a type of cancer that affects the lymphatic system, which is part of the body's immune system. Symptoms: Enlarged lymph nodes, Fever, Night sweats, Weight loss, Fatigue, Itching, Shortness of breath, Chest pain, Abdominal pain or swelling, Nausea, Vomiting, Loss of appetite, Headaches, Confusion, Seizures. Treatments: Chemotherapy, Radiation therapy, Stem cell transplant, Targeted therapy, Biological therapy."
Macular degeneration,"Macular degeneration is an eye disease that causes loss of vision in the center of the field of vision. Symptoms: Blurred vision, Dark or empty areas in your central vision, Difficulty reading or recognizing faces, Distorted vision, Straight lines appearing wavy, Reduced central vision, Need for brighter light when reading or doing close work, Increased difficulty adapting to low light levels, Decreased intensity or brightness of colors. Treatments: Anti-VEGF therapy, Photodynamic therapy, Laser therapy, Vitamin supplements, Low vision aids."
Menopause,"Menopause is a natural biological process that marks the end of a woman's menstrual cycles. Symptoms: Irregular periods, Hot flashes, Night sweats, Sleep problems, Mood changes, Weight gain and slowed metabolism, Thinning hair and dry skin, Loss of breast fullness, Vaginal dryness, Decreased sex drive, Pain during sex, Urinary incontinence, Increased urination or urgency. Treatments: Hormone therapy, Low-dose antidepressants, Gabapentin, Clonidine, Vaginal estrogen, Vaginal moisturizers and lubricants."
Migraine headaches,"Migraine headaches are a type of headache that typically cause intense throbbing pain in one area of the head, often accompanied by nausea, vomiting, and sensitivity to light and sound. They can last for hours or days and can be disabling. Symptoms: Throbbing or pulsing pain on one side of the head, Sensitivity to light and sound, Nausea and vomiting, Blurred vision, Lightheadedness, Fatigue, Irritability. Treatments: Pain-relieving medications such as aspirin or ibuprofen, Triptans, which are medications specifically designed to treat migraines, Preventive medications such as beta blockers or antidepressants, Avoiding triggers such as certain foods, stress, and lack of sleep, Resting in a quiet, dark room."
Multiple sclerosis,"Multiple sclerosis (MS) is a chronic autoimmune disease of the central nervous system that affects the brain, spinal cord, and optic nerves. Symptoms: Fatigue, Numbness or tingling in the limbs, Muscle weakness or spasms, Blurred or double vision, Difficulty with coordination and balance, Problems with speech and swallowing. Treatments: Medications to slow the progression of the disease, Physical therapy, Occupational therapy, Speech therapy, Counseling or support groups."
Myocardial infarction,"Myocardial infarction (MI), also known as a heart attack, occurs when blood flow to the heart muscle is blocked, usually by a blood clot. This can cause damage to the heart muscle and potentially be life-threatening. Symptoms: Chest pain or discomfort, Shortness of breath, Nausea or vomiting, Feeling lightheaded or dizzy, Sweating, Pain or discomfort in the arms, back, neck, jaw, or stomach. Treatments: Oxygen therapy, Aspirin or other antiplatelet medications, Thrombolytic therapy or percutaneous coronary intervention (PCI) to restore blood flow, Beta blockers, ACE inhibitors, or other medications to prevent future heart attacks, Lifestyle changes such as quitting smoking, eating a healthy diet, and getting regular exercise."
Osteoarthritis,"Osteoarthritis (OA) is a degenerative joint disease that occurs when the protective cartilage on the ends of bones wears down over time, causing pain, stiffness, and loss of mobility. Symptoms: Pain or stiffness in the joints, especially after periods of inactivity or overuse, Swelling or tenderness in the affected joints, A crunching or popping sensation when moving the joint, Limited range of motion, Bone spurs. Treatments: Over-the-counter pain relievers such as acetaminophen or nonsteroidal anti-inflammatory drugs (NSAIDs), Prescription medications such as COX-2 inhibitors or corticosteroids, Physical therapy or occupational therapy, Assistive devices such as braces or canes, Lifestyle changes such as losing weight, getting regular exercise, and avoiding activities that exacerbate symptoms."
Osteoporosis,"Osteoporosis is a bone disease that occurs when the body loses too much bone, makes too little bone, or both. As a result, bones become weak and may break from a fall or, in serious cases, from sneezing or minor bumps. Symptoms: Back pain, Loss of height over time, A stooped posture, A bone that breaks much more easily than expected. Treatments: Calcium and vitamin D supplements, Medications such as bisphosphonates, hormone therapy, and denosumab, Regular weight-bearing and muscle-strengthening exercise, Fall prevention measures, such as removing hazards and improving lighting in the home."
Parkinson's disease,"Parkinson's disease is a neurodegenerative disorder that affects movement. It occurs when the brain cells that produce dopamine, a chemical that coordinates movement, die or become impaired. As a result, people with Parkinson's disease may experience tremors, stiffness, slow movement, and difficulty with balance and coordination. Symptoms: Tremors or shaking, usually in the hands, arms, or legs, Stiffness or rigidity of the limbs and trunk, Slow movement (bradykinesia), Impaired balance and coordination. Treatments: Medications that increase dopamine in the brain, such as levodopa, dopamine agonists, and MAO-B inhibitors, Deep brain stimulation (DBS), a surgical procedure that involves implanting electrodes in the brain, Physical therapy to improve movement and balance, Speech therapy to improve voice and communication, Occupational therapy to improve daily activities."
Peptic ulcer disease,"Peptic ulcer disease is a condition in which painful sores or ulcers develop in the lining of the stomach, small intestine, or esophagus. Symptoms: Abdominal pain or discomfort, Nausea, Vomiting, Loss of appetite, Bloating, Belching, Weight loss. Treatments: Antibiotics to kill H. pylori bacteria, Proton pump inhibitors to reduce stomach acid, Antacids to neutralize stomach acid, H2 blockers to reduce acid production, Lifestyle changes (e.g., avoiding alcohol and spicy foods)."
Pneumonia,"Pneumonia is an infection that inflames the air sacs in one or both lungs, causing coughing, fever, and difficulty breathing. Symptoms: Cough (with phlegm or without), Fever, Chills, Shortness of breath, Rapid breathing, Chest pain, Fatigue, Muscle aches, Nausea or vomiting. Treatments: Antibiotics to fight the underlying infection, Fever reducers (e.g., acetaminophen) to relieve symptoms, Cough medicine to reduce coughing, Oxygen therapy to help with breathing, Fluids and rest."
Polycystic kidney disease,"Polycystic kidney disease is an inherited disorder in which clusters of cysts develop within the kidneys, eventually causing kidney failure. Symptoms: Pain in the back or side, Blood in urine, Frequent urination, Kidney stones, High blood pressure, Abdominal swelling, Fatigue, Joint pain. Treatments: Blood pressure medications to control high blood pressure, Antibiotics to treat infections, Surgery to remove large cysts or to transplant a new kidney, Dialysis to remove waste from the blood if kidneys fail."
Polycystic ovary syndrome,"Polycystic ovary syndrome is a hormonal disorder that causes enlarged ovaries with small cysts on the outer edges, leading to infertility and other health problems. Symptoms: Irregular periods, Heavy bleeding, Acne, Excess hair growth, Weight gain, Fatigue, Depression or mood swings. Treatments: Birth control pills to regulate periods and decrease androgen levels, Anti-androgen medications to reduce excess hair growth and acne, Metformin to improve insulin resistance and regulate menstrual cycles, Fertility treatments (e.g., in vitro fertilization) for those trying to conceive."
Prostate Cancer,"Prostate cancer is a type of cancer that develops in the prostate, a gland in the male reproductive system. It usually grows slowly and initially remains confined to the prostate gland, where it may not cause serious harm. However, in some cases, it can spread to other parts of the body and become more aggressive. Symptoms: Frequent urination, especially at night, Difficulty starting or stopping urination, Weak or interrupted urine flow, Blood in urine or semen, Painful or burning urination, Painful ejaculation, Difficulty getting or maintaining an erection. Treatments: Watchful waiting, Surgery, Radiation therapy, Cryotherapy, Hormone therapy, Chemotherapy."
Psoriasis,"Psoriasis is a chronic skin condition that causes cells to build up rapidly on the surface of the skin. The extra skin cells form scales and red patches that are sometimes itchy and painful. Symptoms: Red patches of skin covered with thick, silvery scales, Dry, cracked skin that may bleed, Itching or burning sensations. Treatments: Topical creams and ointments, Light therapy, Oral medications."
Pulmonary embolism,"Pulmonary embolism is a blockage in one of the pulmonary arteries in the lungs. The blockage is usually caused by a blood clot that travels to the lungs from another part of the body, most commonly the legs. Symptoms: Sudden shortness of breath, Chest pain that gets worse with deep breathing or coughing, Coughing up blood. Treatments: Blood thinners, Clot-dissolving medications, Surgery."
Rheumatoid arthritis,"Rheumatoid arthritis is an autoimmune disorder that causes the body's immune system to attack the joints. This leads to inflammation and damage to the joints, which can cause pain, stiffness, and swelling. Symptoms: Joint pain and stiffness, Swelling and tenderness in the joints, Fatigue. Treatments: Nonsteroidal anti-inflammatory drugs (NSAIDs), Disease-modifying antirheumatic drugs (DMARDs), Biologic agents."
Rosacea,"Rosacea is a chronic skin condition that causes redness, flushing, and sometimes small, red, pus-filled bumps on the face. It most commonly affects the nose, cheeks, forehead, and chin. Symptoms: Redness on the cheeks, nose, chin or forehead, Small visible blood vessels on the face, Bumps or pimples on the face. Treatments: Topical creams and gels, Oral antibiotics, Laser therapy."
Sarcoidosis,"Sarcoidosis is a disease that causes inflammation in different parts of the body, most commonly the lungs, lymph nodes, skin, and eyes. The inflammation can cause damage to these organs and may cause symptoms such as coughing, shortness of breath, and skin rashes. Symptoms: Shortness of breath, Coughing, Skin rashes or lesions. Treatments: Corticosteroids, Immunosuppressive medications, Biologic agents."
Scoliosis,"Scoliosis is a medical condition where the spine curves sideways. This can cause uneven shoulders, hips, or waist and can sometimes lead to discomfort or difficulty breathing. Symptoms: Uneven shoulders, Uneven hips, Uneven waist, Back pain, Difficulty breathing. Treatments: Bracing, Physical therapy, Surgery."
Sinusitis,"Sinusitis is an inflammation or swelling of the tissue lining the sinuses, which can cause symptoms such as facial pain, pressure, or congestion. Symptoms: Facial pain, Pressure in the face, Congestion, Nasal discharge, Cough, Headache. Treatments: Nasal decongestants, Saline nasal irrigation, Antibiotics, Steroid nasal sprays."
Spondylitis,"Spondylitis is a type of arthritis that affects the spine and can cause stiffness, pain, and reduced mobility. Symptoms: Stiffness in the back or neck, Pain in the back or neck, Reduced mobility, Fatigue, Loss of appetite. Treatments: Exercise, Medications, Surgery."
Stroke,"A stroke occurs when blood flow to the brain is interrupted or reduced, which can cause brain cells to die. This can result in various symptoms, depending on which part of the brain is affected. Symptoms: Sudden numbness or weakness in the face, arm, or leg, especially on one side of the body, Sudden confusion or trouble speaking or understanding speech, Sudden trouble seeing in one or both eyes, Sudden trouble walking, dizziness, loss of balance or coordination, Sudden severe headache with no known cause. Treatments: Clot-busting drugs, Aspirin or other antiplatelet drugs, Anticoagulants, Surgery."
Systemic lupus erythematosus,"Systemic lupus erythematosus (SLE) is an autoimmune disease that can affect various parts of the body, including the skin, joints, kidneys, brain, and other organs. Symptoms: Fatigue, Fever, Joint pain, Skin rashes, Chest pain, Shortness of breath, Headaches, Confusion, Memory loss. Treatments: Nonsteroidal anti-inflammatory drugs (NSAIDs), Antimalarial drugs, Corticosteroids, Immunosuppressants, Biologics."
Tendinitis,"Tendinitis is a condition in which the tendons — the thick cords that attach muscles to bone — become inflamed or irritated. Symptoms: Pain, Tenderness, Stiffness, Swelling, Weakness. Treatments: Rest, Ice, Compression, Elevation, Physical therapy, Medications, Surgery."
Thyroid disease,"Thyroid disease is a common problem that can cause symptoms due to over- or under-function of the thyroid gland. Symptoms: Fatigue, Weight changes, Muscle weakness, Hair loss, Depression, Difficulty sleeping, Rapid heartbeat. Treatments: Thyroid hormone replacement therapy, Anti-thyroid medications, Radioactive iodine, Surgery."
Ulcerative colitis,"Ulcerative colitis is a chronic inflammatory bowel disease (IBD) that causes inflammation and sores (ulcers) in the lining of the large intestine. Symptoms: Abdominal pain, Diarrhea, Rectal bleeding, Urgency to defecate, Weight loss, Fatigue. Treatments: Anti-inflammatory medications, Immunosuppressive medications, Biologic therapy, Surgery."
